No.,Sample ID,Lab Code,GISAID_Accession,SARS-CoV-2 qPCR result,Sample type,Street No.,Vendor No.
119,Env_0575,HJ200060-20200112-1,EPI_ISL_17064601,Negative,Iron shelf,8,37
120,Env_0577,HJ200062-20200112-1,EPI_ISL_17064602,Negative,Container,6,29-31-33
121,Env_0578,HJ200063-20200112-1,EPI_ISL_17064603,Negative,Basket,6,29-31-33
122,Env_0580,HJ200065-20200112-1,EPI_ISL_17064604,Negative,White box,6,29-31-33
123,Env_0581,HJ200066-20200112-1,EPI_ISL_17064605,Negative,Iron container,6,29-31-33
124,Env_0582,HJ200067-20200112-1,EPI_ISL_17064606,Negative,Bucket,6,29-31-33
125,Env_0617,10-31-In2,EPI_ISL_17064607,Negative,Environmental swab,10,31
126,Env_0619,10-31-abv2,EPI_ISL_17064608,Negative,Environmental swab,10,31
127,Env_0620,06-29-abv1,EPI_ISL_17064609,Negative,Environmental swab,6,29
128,Env_0642,1/27/2011,EPI_ISL_17064610,Negative,Water drain,3,13
129,Env_0643,1/27/2012,EPI_ISL_17064611,Negative,Water drain,1,2
130,Env_0657,1/27/2028,EPI_ISL_17064612,Negative,Water drain,7,34
131,Env_0674,1/27/1952,EPI_ISL_17064613,Negative,Water drain,15,22
132,Env_0697,1/29/2019,EPI_ISL_17064614,Negative,Water drain,9,35
133,Env_0701,1/29/2023,EPI_ISL_17064615,Negative,Ground,11,9
134,Env_0705,7-26-BX,EPI_ISL_17064616,Negative,Inner surface of refrigerator,7,26
135,Env_0707,7-26-PSW,EPI_ISL_17064617,Negative,Drainage outlet,7,26
136,Env_0708,7-26-PSN,EPI_ISL_17064618,Negative,Drainage outlet,7,26
137,Env_0712,7-26-DH,EPI_ISL_17064619,Negative,Ground,7,26
138,Env_0714,8-25-BX,EPI_ISL_17064620,Negative,Inner surface of refrigerator,8,25
139,Env_0715,8-25-D,EPI_ISL_17064621,Negative,Knief,8,25
140,Env_0716,8-25-CK,EPI_ISL_17064622,Negative,Sewage,8,25
141,Env_0720,8-25-M2,EPI_ISL_17064623,Negative,Ground,8,25
142,Env_0749,WS-3-1,EPI_ISL_17064624,Negative,Sewage well,NA,NA
143,Env_0751,WS-4-1,EPI_ISL_17064625,Negative,Sewage well,NA,NA
144,Env_0753,8-25-D1,EPI_ISL_17064626,Negative,Ground,8,25
145,Env_0754,8-25-D2,EPI_ISL_17064627,Negative,Ground,8,25
146,Env_0756,8-25-Long,EPI_ISL_17064628,Negative,Container,8,25
147,Env_0759,Outside-5,EPI_ISL_17064629,Negative,Water drain,5,NA
148,Env_0768,HXJMHL-1-2,EPI_ISL_17064630,Negative,Sewage well,NA,NA
149,Env_0770,JXRJ-1-1,EPI_ISL_17064631,Negative,Sewage well,NA,NA
150,Env_0788,CSSQ-1-1,EPI_ISL_17064632,Negative,Sewage well,NA,NA
151,Env_0789,CSSQ-1-2,EPI_ISL_17064633,Negative,Sewage well,NA,NA
152,Env_0798,YCHC2-1-2,EPI_ISL_17064634,Negative,Sewage well,NA,NA
153,Env_0799,YCHC2-1-3,EPI_ISL_17064635,Negative,Sewage well,NA,NA
154,Env_0800,HXJC4-1-1,EPI_ISL_17064636,Negative,Sewage well,NA,NA
155,Env_0801,HXJC4-1-2,EPI_ISL_17064637,Negative,Sewage well,NA,NA
156,Env_0839,C9,EPI_ISL_17064638,Negative,Ground,5,NA
157,Env_0842,C12,EPI_ISL_17064639,Negative,Wall,5,NA
158,Env_0847,C17,EPI_ISL_17064640,Negative,Surface of container,6,34
159,Env_0856,E-10-29-2,EPI_ISL_17064641,Negative,Container,10,29
160,Env_0858,E-A-7-1,EPI_ISL_17064642,Negative,Container,Accessory Street,7
161,Env_0873,CCDC-454,EPI_ISL_17064643,Negative,Container,9,34
162,Env_0875,629-1-L1,EPI_ISL_17064644,Negative,Container,6,29
163,Env_0877,629-3-C,EPI_ISL_17064645,Negative,Cart,6,29
164,Env_0879,629-5-L4,EPI_ISL_17064646,Negative,Container,6,29
165,Env_0882,629-8-L7,EPI_ISL_17064647,Negative,Container,6,29
166,Env_0885,629-11-L,EPI_ISL_17064648,Negative,Container,6,29
167,Env_0887,629-13-L,EPI_ISL_17064649,Negative,Container,6,29
168,Env_0889,629-L-1,EPI_ISL_17064650,Negative,Container,6,29
169,Env_0893,CCDC-744,EPI_ISL_17064651,Negative,Ground,6,29
170,Env_0895,CCDC-746,EPI_ISL_17064652,Negative,Container,6,29
171,Env_0907,CCDC-758,EPI_ISL_17064653,Negative,Container,8,25
172,Env_0909,CCDC-760,EPI_ISL_17064654,Negative,Ground,8,25
