Genus,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
Channa,11.605 ,6.271 ,0.991 ,6.330 ,2.45E-10,6.21E-09,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Neoteleostei>Eurypterygia>Ctenosquamata>Acanthomorphata>Euacanthomorphacea>Percomorphaceae>Anabantaria>Anabantiformes>Channoidei>Channidae
Megalobrama,233.884 ,6.107 ,0.545 ,11.207 ,3.78E-29,1.29E-26,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Otomorpha>Ostariophysi>Otophysi>Cypriniphysae>Cypriniformes>Cyprinoidei>Xenocyprididae>Xenocypridinae
Micropterus,498.824 ,6.044 ,0.462 ,13.069 ,4.96E-39,3.11E-36,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Neoteleostei>Eurypterygia>Ctenosquamata>Acanthomorphata>Euacanthomorphacea>Percomorphaceae>Eupercaria>Centrarchiformes>Centrarchoidei>Centrarchidae
Potexvirus,290.671 ,5.951 ,0.893 ,6.661 ,2.72E-11,8.00E-10,Viruses>Riboviria>Orthornavirae>Kitrinoviricota>Alsuviricetes>Tymovirales>Alphaflexiviridae
Ctenopharyngodon,190.853 ,5.920 ,0.503 ,11.770 ,5.54E-32,2.32E-29,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Otomorpha>Ostariophysi>Otophysi>Cypriniphysae>Cypriniformes>Cyprinoidei>Xenocyprididae>Xenocypridinae
Psychromonas,807.080 ,5.792 ,0.475 ,12.185 ,3.72E-34,2.00E-31,Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Psychromonadaceae
Tachysurus,973.661 ,5.501 ,0.550 ,10.001 ,1.51E-23,3.56E-21,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Otomorpha>Ostariophysi>Otophysi>Characiphysae>Siluriformes>Siluroidei>Bagridae
Procryptobia,115.755 ,5.455 ,0.840 ,6.498 ,8.15E-11,2.13E-09,Eukaryota>Discoba>Euglenozoa>Kinetoplastea>Metakinetoplastina>Parabodonida
Sinonovacula,149.434 ,5.390 ,0.673 ,8.007 ,1.17E-15,8.04E-14,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Spiralia>Lophotrochozoa>Mollusca>Bivalvia>Autobranchia>Heteroconchia>Euheterodonta>Imparidentia>Cardiida>Tellinoidea>Solecurtidae
Flexibacter,59.917 ,5.383 ,0.764 ,7.047 ,1.83E-12,6.83E-11,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Cytophagia>Cytophagales>Flexibacteraceae
Cyprinus,10259.139 ,5.381 ,0.391 ,13.763 ,4.23E-43,3.98E-40,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Otomorpha>Ostariophysi>Otophysi>Cypriniphysae>Cypriniformes>Cyprinoidei>Cyprinidae>Cyprininae
Ictalurus,220.034 ,5.195 ,0.456 ,11.397 ,4.32E-30,1.63E-27,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Otomorpha>Ostariophysi>Otophysi>Characiphysae>Siluriformes>Siluroidei>Ictaluridae
Monopterus,183.298 ,5.136 ,0.475 ,10.819 ,2.81E-27,7.56E-25,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Neoteleostei>Eurypterygia>Ctenosquamata>Acanthomorphata>Euacanthomorphacea>Percomorphaceae>Anabantaria>Synbranchiformes>Synbranchoidei>Synbranchidae
Scherffelia,3.686 ,5.117 ,1.323 ,3.869 ,1.09E-04,7.82E-04,Eukaryota>Viridiplantae>Chlorophyta>core chlorophytes>Chlorodendrophyceae>Chlorodendrales>Chlorodendraceae
Siansivirga,993.136 ,5.022 ,0.508 ,9.880 ,5.10E-23,1.13E-20,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae
Lactococcus,123690.940 ,5.016 ,0.382 ,13.140 ,1.95E-39,1.47E-36,Bacteria>Terrabacteria group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae
Odorrana,5.129 ,5.011 ,1.174 ,4.270 ,1.96E-05,1.76E-04,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amphibia>Batrachia>Anura>Neobatrachia>Ranoidea>Ranidae
Silurus,2.507 ,5.001 ,1.675 ,2.986 ,2.82E-03,1.20E-02,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Otomorpha>Ostariophysi>Otophysi>Characiphysae>Siluriformes>Siluroidei>Siluridae
Poseidonibacter,504.665 ,4.932 ,0.501 ,9.844 ,7.31E-23,1.38E-20,Bacteria>Proteobacteria>delta/epsilon subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter group
Lithobates,23.548 ,4.901 ,0.725 ,6.763 ,1.35E-11,4.13E-10,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amphibia>Batrachia>Anura>Neobatrachia>Ranoidea>Ranidae
Portunus,2.773 ,4.817 ,1.332 ,3.617 ,2.99E-04,1.83E-03,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Crustacea>Multicrustacea>Malacostraca>Eumalacostraca>Eucarida>Decapoda>Pleocyemata>Brachyura>Eubrachyura>Heterotremata>Portunoidea>Portunidae
Pimephales,272.418 ,4.811 ,0.441 ,10.902 ,1.13E-27,3.28E-25,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Otomorpha>Ostariophysi>Otophysi>Cypriniphysae>Cypriniformes>Cyprinoidei>Leuciscidae>Pogonichthyinae
Urechidicola,609.142 ,4.743 ,0.428 ,11.081 ,1.56E-28,4.89E-26,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae
Pisum,44.725 ,4.743 ,0.613 ,7.733 ,1.05E-14,6.38E-13,Eukaryota>Viridiplantae>Streptophyta>Streptophytina>Embryophyta>Tracheophyta>Euphyllophyta>Spermatophyta>Magnoliopsida>Mesangiospermae>eudicotyledons>Gunneridae>Pentapetalae>rosids>fabids>Fabales>Fabaceae>Papilionoideae>50 kb inversion clade>NPAAA clade>Hologalegina>IRL clade>Fabeae
Helkesimastix,2.658 ,4.740 ,1.715 ,2.764 ,5.71E-03,2.13E-02,Eukaryota>Sar>Rhizaria>Cercozoa>Sainouroidea>Helkesimastigidae
Algibacter,8366.272 ,4.692 ,0.520 ,9.029 ,1.73E-19,2.03E-17,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae
Malaciobacter,1412.170 ,4.651 ,0.473 ,9.835 ,7.94E-23,1.42E-20,Bacteria>Proteobacteria>delta/epsilon subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter group
Polaribacter,11382.440 ,4.458 ,0.456 ,9.781 ,1.35E-22,2.32E-20,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae
Tetramitus,376.029 ,4.405 ,0.967 ,4.557 ,5.19E-06,5.45E-05,Eukaryota>Discoba>Heterolobosea>Tetramitia>Eutetramitia>Vahlkampfiidae
Betacoronavirus,14.090 ,4.391 ,1.055 ,4.161 ,3.17E-05,2.69E-04,Viruses>Riboviria>Orthornavirae>Pisuviricota>Pisoniviricetes>Nidovirales>Cornidovirineae>Coronaviridae>Orthocoronavirinae
Desulfobacterium,160.963 ,4.391 ,0.456 ,9.620 ,6.55E-22,1.07E-19,Bacteria>Proteobacteria>delta/epsilon subdivisions>Deltaproteobacteria>Desulfobacterales>Desulfobacteraceae
Leucothrix,36.330 ,4.372 ,1.260 ,3.471 ,5.19E-04,2.89E-03,Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales>Thiotrichaceae
Mylopharyngodon,1.784 ,4.341 ,1.259 ,3.449 ,5.62E-04,3.10E-03,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Otomorpha>Ostariophysi>Otophysi>Cypriniphysae>Cypriniformes>Cyprinoidei>Xenocyprididae>Xenocypridinae
Caminibacter,18.096 ,4.298 ,0.686 ,6.267 ,3.69E-10,9.03E-09,Bacteria>Proteobacteria>delta/epsilon subdivisions>Epsilonproteobacteria>Nautiliales>Nautiliaceae
Meretrix,1.467 ,4.294 ,2.147 ,2.000 ,4.55E-02,1.16E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Spiralia>Lophotrochozoa>Mollusca>Bivalvia>Autobranchia>Heteroconchia>Euheterodonta>Imparidentia>Venerida>Veneroidea>Veneridae
Granulosicoccus,57.123 ,4.289 ,0.480 ,8.931 ,4.21E-19,4.54E-17,Bacteria>Proteobacteria>Gammaproteobacteria>Chromatiales>Granulosicoccaceae
Thiomicrorhabdus,383.265 ,4.248 ,0.575 ,7.390 ,1.46E-13,7.17E-12,Bacteria>Proteobacteria>Gammaproteobacteria>Thiotrichales>Piscirickettsiaceae
Aliarcobacter,624.949 ,4.234 ,0.503 ,8.424 ,3.64E-17,2.86E-15,Bacteria>Proteobacteria>delta/epsilon subdivisions>Epsilonproteobacteria>Campylobacterales>Campylobacteraceae>Arcobacter group
Planktothrix,22.002 ,4.143 ,0.435 ,9.516 ,1.80E-21,2.71E-19,Bacteria>Terrabacteria group>Cyanobacteria/Melainabacteria group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae
Cyclotella,91.321 ,4.112 ,0.548 ,7.505 ,6.16E-14,3.18E-12,Eukaryota>Sar>Stramenopiles>Ochrophyta>Bacillariophyta>Coscinodiscophyceae>Thalassiosirophycidae>Thalassiosirales>Stephanodiscaceae
Pistricoccus,366.013 ,4.073 ,0.451 ,9.039 ,1.58E-19,1.92E-17,Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Halomonadaceae
Methanosalsum,2.150 ,4.066 ,1.099 ,3.699 ,2.17E-04,1.40E-03,Archaea>Euryarchaeota>Stenosarchaea group>Methanomicrobia>Methanosarcinales>Methanosarcinaceae
Neobodo,10.477 ,4.032 ,1.065 ,3.785 ,1.54E-04,1.04E-03,Eukaryota>Discoba>Euglenozoa>Kinetoplastea>Metakinetoplastina>Neobodonida
Halobacteriovorax,365.849 ,4.014 ,0.431 ,9.305 ,1.34E-20,1.80E-18,Bacteria>Proteobacteria>Oligoflexia>Bacteriovoracales>Halobacteriovoraceae
Fipvunavirus,9.691 ,3.990 ,0.859 ,4.644 ,3.42E-06,3.76E-05,Viruses>Duplodnaviria>Heunggongvirae>Uroviricota>Caudoviricetes>Caudovirales>Podoviridae
Myroides,55402.056 ,3.986 ,0.386 ,10.317 ,5.91E-25,1.48E-22,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae
Glandirana,5.573 ,3.946 ,0.958 ,4.120 ,3.78E-05,3.12E-04,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amphibia>Batrachia>Anura>Neobatrachia>Ranoidea>Ranidae
Larimichthys,738.220 ,3.933 ,0.453 ,8.684 ,3.82E-18,3.51E-16,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Euteleosteomorpha>Neoteleostei>Eurypterygia>Ctenosquamata>Acanthomorphata>Euacanthomorphacea>Percomorphaceae>Eupercaria>Eupercaria incertae sedis>Sciaenidae
Lutibacter,342.567 ,3.925 ,0.430 ,9.129 ,6.90E-20,8.97E-18,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae
Incheonvrus,3.085 ,3.916 ,1.245 ,3.146 ,1.65E-03,7.67E-03,Viruses>Duplodnaviria>Heunggongvirae>Uroviricota>Caudoviricetes>Caudovirales>Siphoviridae
Lacinutrix,1308.792 ,3.898 ,0.447 ,8.720 ,2.77E-18,2.61E-16,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae
Nitratiruptor,38.617 ,3.896 ,0.504 ,7.729 ,1.08E-14,6.46E-13,Bacteria>Proteobacteria>delta/epsilon subdivisions>Epsilonproteobacteria>Nautiliales>Nitratiruptoraceae
Cyclobacterium,320.141 ,3.863 ,0.392 ,9.860 ,6.22E-23,1.30E-20,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae
Mesotoga,156.621 ,3.852 ,0.720 ,5.349 ,8.87E-08,1.41E-06,Bacteria>Thermotogae>Thermotogae>Kosmotogales>Kosmotogaceae
Podila,82.953 ,3.851 ,1.010 ,3.812 ,1.38E-04,9.52E-04,Eukaryota>Opisthokonta>Fungi>Fungi incertae sedis>Mucoromycota>Mortierellomycotina>Mortierellomycetes>Mortierellales>Mortierellaceae
Kosmotoga,4.665 ,3.840 ,0.651 ,5.898 ,3.67E-09,7.69E-08,Bacteria>Thermotogae>Thermotogae>Kosmotogales>Kosmotogaceae
Nautilia,10.748 ,3.837 ,0.531 ,7.220 ,5.19E-13,2.25E-11,Bacteria>Proteobacteria>delta/epsilon subdivisions>Epsilonproteobacteria>Nautiliales>Nautiliaceae
Cellulophaga,1219.449 ,3.835 ,0.436 ,8.791 ,1.48E-18,1.43E-16,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae
Eriocheir,1.761 ,3.831 ,1.121 ,3.417 ,6.33E-04,3.44E-03,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Crustacea>Multicrustacea>Malacostraca>Eumalacostraca>Eucarida>Decapoda>Pleocyemata>Brachyura>Eubrachyura>Thoracotremata>Grapsoidea>Varunidae
Cyprideis,2323.353 ,3.827 ,0.434 ,8.816 ,1.18E-18,1.17E-16,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Crustacea>Oligostraca>Ostracoda>Podocopa>Podocopida>Cypridocopina>Cypridoidea>Cyprididae
Vertebrata,1.183 ,3.776 ,1.262 ,2.993 ,2.77E-03,1.18E-02,Eukaryota>Rhodophyta>Florideophyceae>Rhodymeniophycidae>Ceramiales>Rhodomelaceae>Polysiphonioideae
Candidatus_Hepatoplasma,3.796 ,3.771 ,0.828 ,4.553 ,5.30E-06,5.54E-05,Bacteria>Terrabacteria group>Tenericutes>Mollicutes>Mycoplasmatales>Mycoplasmataceae
Mytilus,2.838 ,3.766 ,0.741 ,5.083 ,3.71E-07,5.24E-06,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Spiralia>Lophotrochozoa>Mollusca>Bivalvia>Autobranchia>Pteriomorphia>Mytiloida>Mytiloidea>Mytilidae>Mytilinae
Belliella,1901.790 ,3.761 ,0.520 ,7.227 ,4.95E-13,2.17E-11,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Cytophagia>Cytophagales>Cyclobacteriaceae
Neocaridina,1.667 ,3.760 ,2.817 ,1.335 ,1.82E-01,3.26E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Crustacea>Multicrustacea>Malacostraca>Eumalacostraca>Eucarida>Decapoda>Pleocyemata>Caridea>Atyoidea>Atyidae
Seonamhaeicola,516.139 ,3.756 ,0.481 ,7.816 ,5.46E-15,3.49E-13,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae
Changchengzhania,459.304 ,3.746 ,0.478 ,7.833 ,4.76E-15,3.09E-13,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae
Owenweeksia,158.487 ,3.738 ,0.394 ,9.484 ,2.44E-21,3.53E-19,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Schleiferiaceae
Novirhabdovirus,0.946 ,3.729 ,2.171 ,1.718 ,8.58E-02,1.90E-01,Viruses>Riboviria>Orthornavirae>Negarnaviricota>Haploviricotina>Monjiviricetes>Mononegavirales>Rhabdoviridae
Halpernia,1.231 ,3.720 ,1.792 ,2.076 ,3.79E-02,1.00E-01,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Weeksellaceae
Labilibaculum,129.418 ,3.718 ,0.409 ,9.098 ,9.17E-20,1.15E-17,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Bacteroidia>Marinilabiliales>Marinifilaceae
Tamlana,681.876 ,3.698 ,0.504 ,7.336 ,2.21E-13,1.04E-11,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae
Nitrosophilus,8.113 ,3.690 ,0.721 ,5.119 ,3.07E-07,4.37E-06,Bacteria>Proteobacteria>delta/epsilon subdivisions>Epsilonproteobacteria>Nautiliales>Nitratiruptoraceae
Leadbetterella,943.132 ,3.674 ,0.410 ,8.956 ,3.37E-19,3.74E-17,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae
Bizionia,72.885 ,3.669 ,1.152 ,3.185 ,1.45E-03,6.82E-03,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae
Formosa,2564.910 ,3.664 ,0.434 ,8.438 ,3.24E-17,2.65E-15,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae
Doryteuthis,0.939 ,3.634 ,2.356 ,1.542 ,1.23E-01,2.48E-01,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Spiralia>Lophotrochozoa>Mollusca>Cephalopoda>Coleoidea>Decapodiformes>Teuthida>Myopsina>Loliginidae
Gramella,1131.676 ,3.608 ,0.408 ,8.853 ,8.50E-19,8.89E-17,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae
Mesoflavibacter,386.800 ,3.572 ,0.468 ,7.628 ,2.38E-14,1.32E-12,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae
Ulothrix,10.300 ,3.555 ,1.216 ,2.924 ,3.45E-03,1.41E-02,Eukaryota>Viridiplantae>Chlorophyta>Ulvophyceae>OUU clade>Ulotrichales>Ulotrichaceae
Wenyingzhuangia,415.132 ,3.540 ,0.503 ,7.031 ,2.05E-12,7.35E-11,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae
Carassius,190.016 ,3.537 ,0.408 ,8.666 ,4.49E-18,3.94E-16,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Actinopterygii>Actinopteri>Neopterygii>Teleostei>Osteoglossocephalai>Clupeocephala>Otomorpha>Ostariophysi>Otophysi>Cypriniphysae>Cypriniformes>Cyprinoidei>Cyprinidae>Cyprininae
Athalassotoga,1.553 ,3.500 ,0.990 ,3.537 ,4.04E-04,2.34E-03,Bacteria>Thermotogae>Thermotogae>Mesoaciditogales>Mesoaciditogaceae
Tragelaphus,0.921 ,3.469 ,1.441 ,2.408 ,1.60E-02,5.01E-02,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Laurasiatheria>Artiodactyla>Ruminantia>Pecora>Bovidae>Bovinae
Kordia,947.616 ,3.458 ,0.483 ,7.152 ,8.57E-13,3.47E-11,Bacteria>FCB group>Bacteroidetes/Chlorobi group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae
Haliotis,28.159 ,3.444 ,0.672 ,5.124 ,3.00E-07,4.34E-06,Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Spiralia>Lophotrochozoa>Mollusca>Gastropoda>Vetigastropoda>Lepetellida>Haliotoidea>Haliotidae
